x,y,z
2.44,0.76,0.7
0.44,1.76,0
1.44,1.76,0
2.44,1.76,0
0.44,2.76,0
1.44,2.76,0
2.44,2.76,0
0.44,3.76,0
1.44,3.76,0
2.44,3.76,0
0.44,4.76,0
1.44,4.76,0
2.44,4.76,0
2.44,0.76,0.7
0.44,1.76,0
1.44,1.76,0
2.44,1.76,0
0.44,2.76,0
1.44,2.76,0
2.44,2.76,0
0.44,3.76,0
1.44,3.76,0
2.44,3.76,0
0.44,4.76,0
1.44,4.76,0
2.44,4.76,0
2.44,0.76,0.7
0.44,1.76,0
1.44,1.76,0
2.44,1.76,0
0.44,2.76,0
1.44,2.76,0
2.44,2.76,0
0.44,3.76,0
1.44,3.76,0
2.44,3.76,0
0.44,4.76,0
1.44,4.76,0
2.44,4.76,0
2.44,0.76,0.7
0.44,1.76,0
1.44,1.76,0
2.44,1.76,0
0.44,2.76,0
1.44,2.76,0
2.44,2.76,0
0.44,3.76,0
1.44,3.76,0
2.44,3.76,0
0.44,4.76,0
1.44,4.76,0
2.44,4.76,0
2.44,0.76,0.7
0.44,1.76,0
1.44,1.76,0
2.44,1.76,0
0.44,2.76,0
1.44,2.76,0
2.44,2.76,0
0.44,3.76,0
1.44,3.76,0
2.44,3.76,0
0.44,4.76,0
1.44,4.76,0
2.44,4.76,0
